var,mean,sd,1%,5%,25%,50%,75%,95%,99%,n
br,7.157930267195987e-06,0.005358217575855262,-0.013939973472035771,-0.0059281674370102126,-0.0014239882044246154,-6.464224407264933e-05,0.001363351710533562,0.006112307927244566,0.015479882614895586,6240
bf,0.010093751648851266,3.599501873923127,-4.999999999999999,-4.999999999999999,-3.2805629390171136,-0.0017731095527540393,3.3769995462852043,4.999999999999999,4.999999999999999,6240
omega_r_1,0.7427437146903051,0.3461735299540169,0.29438659617280116,0.36491550748386264,0.5088222304410587,0.6623002798213752,0.8994036521736171,1.3623529018516478,1.9017884182529137,6240
omega_r_2,0.7187452760440786,0.31682032822016154,0.2828364553894762,0.35693511177163534,0.49731390847432566,0.6482996843628952,0.8679034951654596,1.3015213972452804,1.7275916619299547,6240
omega_r_3,0.6975053985852068,0.3021485966760194,0.2848453015843689,0.3522596502040276,0.4876163264174434,0.6292223609753349,0.8373935692854952,1.2492235563981535,1.694656769582148,6240
omega_f_1,28293.351130087864,12332.208862499814,7865.168688489536,11959.474125260827,20498.498862887467,26498.065600077593,34321.64917514686,49452.49961385413,64623.72072986154,6240
omega_f_2,28366.339630246213,12062.094732830281,7714.069116541167,12177.439795197453,20329.76253276226,26414.450541932718,34743.186211079905,49136.64061460613,64564.3119052918,6240
omega_f_3,29373.560581032096,14574.096953127355,7909.626314155098,12187.841795271956,20398.169436852862,26788.962836875697,35224.90379627724,54477.84736255299,77915.34977032598,6240
t_br,-0.0005038996333122043,0.035609839167608605,-0.10101978035490376,-0.055081045875163756,-0.01658057687108884,-0.0007908002181889579,0.015831596128068788,0.05586514933150052,0.09948831496919949,6240
t_bf,-0.00023732852043722283,0.03724328036973022,-0.10357284998857212,-0.05772771877769056,-0.016804248072090106,-3.20594659172631e-05,0.016081191834156083,0.057020199188649034,0.10401060610003653,6240
